project,timeing,tests,failed,error,skipped,mode
gs-collections-sub-collections-testutils,85.11,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,85.11,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,85.11,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,85.11,1082,0,0,0,baseTime
gs-collections-sub-unit-tests,85.11,64678,0,0,14,baseTime
gs-collections-sub-unit-tests,79.9,9338,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,88.61,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,88.61,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,88.61,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,88.61,1082,0,0,0,baseTime
gs-collections-sub-unit-tests,88.61,64926,0,0,14,baseTime
gs-collections-sub-unit-tests,102.07,57478,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,85.29,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,85.29,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,85.29,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,85.29,1090,0,0,0,baseTime
gs-collections-sub-unit-tests,85.29,64942,0,0,14,baseTime
gs-collections-sub-gs-collections-forkjoin,92.2,24,0,0,0,ekstaziAEC
gs-collections-sub-scala-unit-tests,92.2,361,0,0,1,ekstaziAEC
gs-collections-sub-unit-tests,92.2,18249,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,88.46,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,88.46,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,88.46,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,88.46,1090,0,0,0,baseTime
gs-collections-sub-unit-tests,88.46,64942,0,0,14,baseTime
gs-collections-sub-scala-unit-tests,82.23,208,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,86.06,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,86.06,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,86.06,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,86.06,1092,0,0,0,baseTime
gs-collections-sub-unit-tests,86.06,65358,0,0,14,baseTime
gs-collections-sub-serialization-tests,78.62,2,0,0,0,ekstaziAEC
gs-collections-sub-unit-tests,78.62,2497,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,91.55,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,91.55,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,91.55,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,91.55,1096,0,0,0,baseTime
gs-collections-sub-unit-tests,91.55,65635,0,0,14,baseTime
gs-collections-sub-collections-testutils,132.53,139,0,0,0,ekstaziAEC
gs-collections-sub-gs-collections-forkjoin,132.53,24,0,0,0,ekstaziAEC
gs-collections-sub-scala-unit-tests,132.53,1138,0,0,1,ekstaziAEC
gs-collections-sub-serialization-tests,132.53,159,0,0,0,ekstaziAEC
gs-collections-sub-unit-tests,132.53,65341,0,0,14,ekstaziAEC
gs-collections-sub-collections-testutils,88.9,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,88.9,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,88.9,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,88.9,1096,0,0,0,baseTime
gs-collections-sub-unit-tests,88.9,65635,0,0,14,baseTime
gs-collections-surefireNotFound,79.6,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,86.05,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,86.05,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,86.05,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,86.05,1096,0,0,0,baseTime
gs-collections-sub-unit-tests,86.05,65635,0,0,14,baseTime
gs-collections-surefireNotFound,73.0,0,0,0,0,ekstaziAEC
gs-collections-sub-collections-testutils,83.67,139,0,0,0,baseTime
gs-collections-sub-gs-collections-forkjoin,83.67,24,0,0,0,baseTime
gs-collections-sub-scala-unit-tests,83.67,1150,0,0,1,baseTime
gs-collections-sub-serialization-tests,83.67,1096,0,0,0,baseTime
gs-collections-sub-unit-tests,83.67,65635,0,0,14,baseTime
gs-collections-surefireNotFound,78.8,0,0,0,0,ekstaziAEC
io,90.76,1031,0,0,3,baseTime
io,108.04,1031,0,0,3,ekstaziAEC
io,89.13,1031,0,0,3,baseTime
io,6.16,0,0,0,0,ekstaziAEC
io,92.71,1031,0,0,3,baseTime
io,7.75,45,0,0,1,ekstaziAEC
io,91.09,1031,0,0,3,baseTime
io,7.44,0,0,0,0,ekstaziAEC
io,91.6,1031,0,0,3,baseTime
io,9.34,68,0,0,1,ekstaziAEC
io,91.51,1031,0,0,3,baseTime
io,7.09,2,0,0,0,ekstaziAEC
io,91.66,1031,0,0,3,baseTime
io,86.37,527,0,0,0,ekstaziAEC
io,88.78,1031,0,0,3,baseTime
io,80.3,564,0,0,0,ekstaziAEC
io,88.81,1031,0,0,3,baseTime
io,8.3,70,0,0,1,ekstaziAEC
io,88.45,1031,0,0,3,baseTime
io,6.88,30,0,0,2,ekstaziAEC
io,88.22,1031,0,0,3,baseTime
